itemCollection_Weapons_common,,,
Weapon_Laser_LargeLaser_0-STOCK,Weapon,1,8
Weapon_Laser_LargeLaser_1-Diverse_Optics,Weapon,1,5
Weapon_Laser_LargeLaser_1-ExoStar,Weapon,1,5
Weapon_Laser_LargeLaser_1-Intek,Weapon,1,5
Weapon_Laser_MediumLaser_0-STOCK,Weapon,1,8
Weapon_Laser_MediumLaser_1-ExoStar,Weapon,1,5
Weapon_Laser_MediumLaser_1-Intek,Weapon,1,5
Weapon_Laser_MediumLaser_1-Magna,Weapon,1,5
Weapon_Laser_SmallLaser_0-STOCK,Weapon,1,8
Weapon_Laser_SmallLaser_1-Diverse_Optics,Weapon,1,5
Weapon_Laser_SmallLaser_1-ExoStar,Weapon,1,5
Weapon_Laser_SmallLaser_1-Magna,Weapon,1,5
Weapon_PPC_PPCSnub_0-STOCK,Weapon,1,6
Weapon_PPC_PPCSnub_1-Ceres_Arms,Weapon,1,6
Weapon_PPC_PPCSnub_1-Donal,Weapon,1,6
Weapon_PPC_PPCSnub_1-Magna,Weapon,1,6
Weapon_PPC_PPC_0-STOCK,Weapon,1,7
Weapon_PPC_PPC_1-Ceres_Arms,Weapon,1,6
Weapon_PPC_PPC_1-Donal,Weapon,1,6
Weapon_PPC_PPC_1-Tiegart,Weapon,1,6
Weapon_Autocannon_AC2_0-STOCK,Weapon,1,8
Weapon_Autocannon_AC2_1-Defiance,Weapon,1,7
Weapon_Autocannon_AC2_1-Federated,Weapon,1,7
Weapon_Autocannon_AC2_1-Kali_Yama,Weapon,1,7
Weapon_Autocannon_AC10_0-STOCK,Weapon,1,7
Weapon_Autocannon_AC10_1-Defiance,Weapon,1,6
Weapon_Autocannon_AC10_1-Imperator,Weapon,1,6
Weapon_Autocannon_AC10_1-Kali_Yama,Weapon,1,6
Weapon_Autocannon_AC10_1-Mydron,Weapon,1,6
Weapon_Autocannon_AC5_1-Defiance,Weapon,1,7
Weapon_Autocannon_AC5_1-Federated,Weapon,1,7
Weapon_Autocannon_AC5_1-Imperator,Weapon,1,7
Weapon_Autocannon_AC5_1-Kali_Yama,Weapon,1,7
Weapon_Autocannon_AC20_1-Defiance,Weapon,1,6
Weapon_Autocannon_AC20_1-Federated,Weapon,1,6
Weapon_Autocannon_AC20_1-Imperator,Weapon,1,6
Weapon_Autocannon_AC20_1-Mydron,Weapon,1,6
Weapon_MachineGun_MachineGun_0-STOCK,Weapon,1,9
Weapon_MachineGun_MachineGun_1-Brigadier,Weapon,1,8
Weapon_MachineGun_MachineGun_1-VMI,Weapon,1,8
Weapon_SRM_SRM2_0-STOCK,Weapon,1,8
Weapon_SRM_SRM2_1-Holly,Weapon,1,7
Weapon_SRM_SRM4_0-STOCK,Weapon,1,8
Weapon_SRM_SRM4_1-Holly,Weapon,1,7
Weapon_SRM_SRM6_0-STOCK,Weapon,1,8
Weapon_SRM_SRM6_1-Holly,Weapon,1,7
Weapon_LRM_LRM5_0-STOCK,Weapon,1,7
Weapon_LRM_LRM5_1-Delta,Weapon,1,6
Weapon_LRM_LRM10_0-STOCK,Weapon,1,7
Weapon_LRM_LRM10_1-Delta,Weapon,1,6
Weapon_LRM_LRM15_0-STOCK,Weapon,1,7
Weapon_LRM_LRM15_1-Delta,Weapon,1,6
Weapon_LRM_LRM20_0-STOCK,Weapon,1,7
Weapon_LRM_LRM20_1-Delta,Weapon,1,6
Weapon_Flamer_Flamer_0-STOCK,Weapon,1,9
Weapon_Flamer_Flamer_1-Hotshot,Weapon,1,8
Weapon_AMS,Weapon,1,6
Weapon_TAG_Standard_0-STOCK,Weapon,1,6
Weapon_TAG_Standard_1-Mendham,Weapon,1,5
Weapon_TAG_Standard_2-Ceres_Arms,Weapon,1,5
Weapon_Narc_Standard_0-STOCK,Weapon,1,6
Weapon_Narc_Standard_1-Ceres_Arms,Weapon,1,5
Weapon_Gauss_Gauss_0-STOCK,Weapon,1,5
